Date,Open,High,Low,Close,Adj Close,Volume
2018-03-16,46.700001,46.880001,45.610001,46.770000,43.252796,53635676
2018-03-20,46.360001,47.000000,46.259998,46.939999,43.410011,19986516
2018-03-21,47.000000,47.200001,46.360001,46.799999,43.280533,33235085
2018-03-22,46.619999,46.980000,46.160000,46.419998,42.929115,14054170
2018-03-23,46.419998,47.000000,45.439999,45.820000,42.374241,13709423
2018-03-26,45.980000,47.180000,45.560001,47.119999,43.576477,16900775
2018-03-27,47.200001,47.200001,46.619999,46.900002,43.373020,12504242
2018-03-28,47.099998,47.419998,46.000000,46.259998,42.781147,21964398
2018-04-02,46.369999,47.090000,46.310001,46.450001,42.956871,10759009
2018-04-03,46.340000,47.509998,46.180000,47.360001,43.798431,18936889
2018-04-04,47.200001,47.680000,46.959999,47.540001,43.964890,22103697
2018-04-05,47.500000,48.889999,47.450001,48.639999,44.982162,17041174
2018-04-06,48.639999,49.099998,48.259998,48.799999,45.130127,16750822
2018-04-09,49.000000,49.700001,48.410000,49.480000,45.758991,25030610
2018-04-10,49.500000,49.799999,49.119999,49.419998,45.703510,35563806
2018-04-11,49.119999,49.990002,49.119999,49.700001,45.962452,29935297
2018-04-12,49.779999,50.410000,49.500000,50.130001,46.360119,26301204
2018-04-13,50.400002,50.599998,50.000000,50.520000,46.720779,16694998
2018-04-16,50.639999,50.990002,50.060001,50.439999,46.646805,24990961
2018-04-17,50.000000,50.570000,49.680000,50.150002,46.378613,35275961
2018-04-18,50.000000,50.480000,49.790001,49.889999,46.138165,34452376
2018-04-19,49.889999,49.990002,49.389999,49.689999,45.953209,21640347
2018-04-20,49.570000,50.270000,49.529999,49.799999,46.054928,13172841
2018-04-23,49.680000,50.290001,48.669998,49.410000,45.869263,21489992
2018-04-24,49.130001,49.990002,48.779999,49.590000,46.223469,9764225
2018-04-25,49.080002,50.369999,49.080002,50.230000,46.820015,10933475
2018-04-26,50.009998,52.200001,49.639999,51.980000,48.451218,30449191
2018-04-27,51.860001,52.490002,51.500000,52.220001,48.674923,19611750
2018-04-30,52.080002,52.950001,51.810001,51.970001,48.441895,19886514
2018-05-02,51.750000,52.500000,51.700001,52.169998,48.628319,65682232
2018-05-03,52.119999,52.189999,51.290001,51.700001,48.190228,34150096
2018-05-04,51.500000,51.919998,51.099998,51.669998,48.162254,27344909
2018-05-07,51.549999,52.500000,51.009998,51.139999,47.668240,12568276
2018-05-08,50.689999,50.860001,50.099998,50.450001,47.025082,24623079
2018-05-09,50.459999,50.590000,48.599998,49.520000,46.158215,29195252
2018-05-10,49.509998,50.490002,49.509998,50.070000,46.670883,11271275
2018-05-11,50.070000,50.200001,49.799999,50.070000,46.670883,9755569
2018-05-14,50.130001,50.459999,49.430000,49.500000,46.139576,10595832
2018-05-15,49.410000,49.919998,49.160000,49.259998,45.915867,14440212
2018-05-16,49.259998,49.740002,49.110001,49.389999,46.037048,9306878
2018-05-17,49.450001,49.450001,48.650002,48.919998,45.598949,11657526
2018-05-18,48.799999,52.000000,48.150002,49.669998,46.298038,25423596
2018-05-21,49.669998,49.889999,48.810001,48.910000,45.589634,14914552
2018-05-22,48.799999,49.490002,48.759998,49.270000,45.925194,10329772
2018-05-23,49.029999,50.700001,48.910000,50.360001,46.941193,11276002
2018-05-24,50.650002,50.650002,49.310001,50.389999,46.969154,10804260
2018-05-25,50.970001,50.970001,49.720001,50.490002,47.062370,15241899
2018-05-28,49.799999,50.360001,49.529999,49.730000,46.353962,1686870
2018-05-29,49.750000,51.320000,49.520000,50.939999,47.481819,11083615
